P-JW1-SUN,P-JW2-SUN,P-JW3-SUN,P-JW4-SUN,P-FW1-SUN,P-FW2-SUN,P-FW3-SUN,P-FW4-SUN,Euclidean Barycenter
11083.383,11151.13,11116.797,8874.407,11083.383,11151.13,11116.797,8874.407,10556.429250000001
10825.955,10874.422,10724.949,8817.939,10825.955,10874.422,10724.949,8817.939,10310.81625
10834.583,12577.714,10629.267,8990.05,10834.583,12577.714,10629.267,8990.05,10757.903499999999
10697.862,12757.048,10838.349,8846.727,10697.862,12757.048,10838.349,8846.727,10784.9965
10889.276,13073.098,11104.838,9168.922,10889.276,13073.098,11104.838,9168.922,11059.033500000001
11248.326,13212.107,11366.837,9165.462,11248.326,13212.107,11366.837,9165.462,11248.182999999999
11412.584,13572.496,11439.019,9343.062,11412.584,13572.496,11439.019,9343.062,11441.790250000002
11498.817,13968.748,11753.983,9586.379,11498.817,13968.748,11753.983,9586.379,11701.98175
11824.654,14207.61,12053.512,9727.517,11824.654,14207.61,12053.512,9727.517,11953.323250000001
11976.197,14713.763,12182.273,9927.736,11976.197,14713.763,12182.273,9927.736,12199.992250000001
12019.806,14790.248,12436.879,10025.525,12019.806,14790.248,12436.879,10025.525,12318.114500000001
12483.102,15089.494,12689.937,10339.747,12483.102,15089.494,12689.937,10339.747,12650.570000000002
12570.546,15295.129,12740.467,10341.398,12570.546,15295.129,12740.467,10341.398,12736.885000000002
12923.965,15207.174,12984.425,10583.475,12923.965,15207.174,12984.425,10583.475,12924.759750000001
13016.764,15600.159,13085.064,10780.449,13016.764,15600.159,13085.064,10780.449,13120.609
13247.456,15733.081,13106.216,10692.981,13247.456,15733.081,13106.216,10692.981,13194.933500000001
13505.405,15897.911,13367.631,10844.914,13505.405,15897.911,13367.631,10844.914,13403.96525
13354.632,15863.137,13391.241,10869.765,13354.632,15863.137,13391.241,10869.765,13369.69375
13488.012,16327.178,13530.81,11039.091,13488.012,16327.178,13530.81,11039.091,13596.27275
13615.124,16443.32,13751.65,11103.951,13615.124,16443.32,13751.65,11103.951,13728.51125
13847.637,16404.61,13708.47,11241.648,13847.637,16404.61,13708.47,11241.648,13800.591250000001
14056.775,16820.042,13759.834,11200.87,14056.775,16820.042,13759.834,11200.87,13959.38025
14016.441,16843.849,13807.668,11302.339,14016.441,16843.849,13807.668,11302.339,13992.574250000001
13944.088,16948.044,13677.577,11383.218,13944.088,16948.044,13677.577,11383.218,13988.231750000003
14268.114,16987.627,13922.923,11650.343,14268.114,16987.627,13922.923,11650.343,14207.25175
14363.939,17302.622,14027.695,11474.023,14363.939,17302.622,14027.695,11474.023,14292.06975
14208.818,17446.339,14145.181,11399.0,14208.818,17446.339,14145.181,11399.0,14299.834499999999
14453.676,17529.906,14040.48,11516.713,14453.676,17529.906,14040.48,11516.713,14385.19375
14502.004,15090.782,14110.619,11497.246,14502.004,15090.782,14110.619,11497.246,13800.162750000001
14116.499,14932.223,13978.669,11437.144,14116.499,14932.223,13978.669,11437.144,13616.133749999999
14194.838,13726.43,13857.727,11515.649,14194.838,13726.43,13857.727,11515.649,13323.661000000002
14236.534,13982.356,14008.785,11547.74,14236.534,13982.356,14008.785,11547.74,13443.85375
14088.344,13938.247,13854.242,11451.307,14088.344,13938.247,13854.242,11451.307,13333.035
14089.563,14060.109,13664.174,11337.031,14089.563,14060.109,13664.174,11337.031,13287.71925
14130.952,14097.068,13684.579,11638.93,14130.952,14097.068,13684.579,11638.93,13387.882249999999
14190.503,13811.738,13868.507,11508.493,14190.503,13811.738,13868.507,11508.493,13344.81025
14313.561,14022.844,13866.505,11497.56,14313.561,14022.844,13866.505,11497.56,13425.117499999998
14058.006,13900.539,13759.522,11523.951,14058.006,13900.539,13759.522,11523.951,13310.5045
14085.164,13745.843,13769.461,11370.469,14085.164,13745.843,13769.461,11370.469,13242.734249999998
13957.446,13838.619,13760.318,11455.143,13957.446,13838.619,13760.318,11455.143,13252.8815
14020.693,13680.265,13732.371,11300.981,14020.693,13680.265,13732.371,11300.981,13183.5775
13921.7,13835.481,13475.215,11265.063,13921.7,13835.481,13475.215,11265.063,13124.364749999999
13995.745,13598.868,13498.581,11267.211,13995.745,13598.868,13498.581,11267.211,13090.10125
13857.916,13606.007,13575.467,11096.569,13857.916,13606.007,13575.467,11096.569,13033.98975
13841.69,13640.029,13356.275,11147.622,13841.69,13640.029,13356.275,11147.622,12996.403999999999
13820.456,13633.275,13456.407,11007.083,13820.456,13633.275,13456.407,11007.083,12979.30525
13899.026,13781.68,13250.669,11152.698,13899.026,13781.68,13250.669,11152.698,13021.018250000001
14326.177,14280.977,13730.106,11400.562,14326.177,14280.977,13730.106,11400.562,13434.4555
15214.123,14768.954,14101.442,11802.764,15214.123,14768.954,14101.442,11802.764,13971.820749999997
15870.478,15729.881,15237.204,12420.48,15870.478,15729.881,15237.204,12420.48,14814.510749999998
16260.808,16069.504,15595.921,12800.484,16260.808,16069.504,15595.921,12800.484,15181.679250000001
16267.956,16071.204,15797.845,13120.381,16267.956,16071.204,15797.845,13120.381,15314.3465
16380.634,16160.175,15728.109,12839.182,16380.634,16160.175,15728.109,12839.182,15277.025000000001
16166.938,16305.723,15846.324,13069.389,16166.938,16305.723,15846.324,13069.389,15347.093499999999
16473.272,16128.012,16238.951,13004.877,16473.272,16128.012,16238.951,13004.877,15461.278000000002
16164.589,16190.498,16096.841,13020.329,16164.589,16190.498,16096.841,13020.329,15368.064249999998
16456.926,16103.194,15926.743,12858.105,16456.926,16103.194,15926.743,12858.105,15336.242
16255.417,15968.526,15865.819,12778.23,16255.417,15968.526,15865.819,12778.23,15216.998
16325.909,15905.638,15922.514,12857.822,16325.909,15905.638,15922.514,12857.822,15252.97075
16178.457,15861.728,15689.057,12866.089,16178.457,15861.728,15689.057,12866.089,15148.832750000001
15829.748,15937.417,15472.983,12774.819,15829.748,15937.417,15472.983,12774.819,15003.74175
15698.343,15541.062,15191.35,12490.753,15698.343,15541.062,15191.35,12490.753,14730.377
15536.402,15218.355,15206.021,12353.132,15536.402,15218.355,15206.021,12353.132,14578.477499999999
15318.325,14921.946,14865.856,12145.231,15318.325,14921.946,14865.856,12145.231,14312.8395
14926.202,14599.1,14697.241,11954.475,14926.202,14599.1,14697.241,11954.475,14044.254500000001
14768.649,14223.258,14363.301,11657.313,14768.649,14223.258,14363.301,11657.313,13753.130249999998
14422.626,14120.172,14067.896,11387.351,14422.626,14120.172,14067.896,11387.351,13499.51125
14229.928,13793.18,13845.624,11323.484,14229.928,13793.18,13845.624,11323.484,13298.053999999998
13843.178,13498.229,13819.896,11133.149,13843.178,13498.229,13819.896,11133.149,13073.613000000001
13604.137,13288.106,13486.19,10882.418,13604.137,13288.106,13486.19,10882.418,12815.212750000002
13278.611,12960.418,13226.227,10641.913,13278.611,12960.418,13226.227,10641.913,12526.79225
